state,date,division,index
Kelantan,1/2/2022,overall,124.5
Kelantan,1/3/2022,overall,124.8
Kelantan,1/4/2022,overall,125
Kelantan,1/5/2022,overall,125.6
Kelantan,1/6/2022,overall,126.2
Kelantan,1/7/2022,overall,126.4
Kelantan,1/8/2022,overall,126.3
Kelantan,1/9/2022,overall,126.5
Kelantan,1/10/2022,overall,126.7
Kelantan,1/11/2022,overall,127
Kelantan,1/12/2022,overall,127.2
Kelantan,1/1/2023,overall,127.4
Kelantan,1/2/2023,overall,127.6
Kelantan,1/3/2023,overall,127.8
Kelantan,1/4/2023,overall,127.9
Kelantan,1/5/2023,overall,127.9
Kelantan,1/6/2023,overall,128
Kelantan,1/7/2023,overall,128.2
Kelantan,1/8/2023,overall,128.2
Kelantan,1/9/2023,overall,128.2
Kelantan,1/10/2023,overall,128.3
Kelantan,1/11/2023,overall,128.1
Kelantan,1/12/2023,overall,128.4
Kelantan,1/1/2024,overall,128.6
Kelantan,1/2/2024,overall,129.2
Kelantan,1/3/2024,overall,129.2
Kelantan,1/4/2024,overall,129.2
Kelantan,1/5/2024,overall,129.4
Kelantan,1/6/2024,overall,129.6
Kelantan,1/7/2024,overall,129.5
Kelantan,1/8/2024,overall,129.4
Kelantan,1/9/2024,overall,129.3
Kelantan,1/10/2024,overall,129.5
Kelantan,1/11/2024,overall,129.3
Kelantan,1/12/2024,overall,129.3
Kelantan,1/1/2025,overall,129.6
Kelantan,1/2/2025,overall,129.8
Kelantan,1/3/2025,overall,129.8
Kelantan,1/4/2025,overall,129.9
Kelantan,1/5/2025,overall,129.8
Kelantan,1/6/2025,overall,129.8
Kelantan,1/7/2025,overall,129.5
Melaka,1/1/2010,overall,99.5
Melaka,1/2/2010,overall,99.5
Melaka,1/3/2010,overall,99.4
Melaka,1/4/2010,overall,99.4
Melaka,1/5/2010,overall,99.6
Melaka,1/6/2010,overall,99.7
Melaka,1/7/2010,overall,100.1
Melaka,1/8/2010,overall,100.3
Melaka,1/9/2010,overall,100.3
